lablel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2,4,6,0,2,0,4,-3,2,8,0,0,0,0,2,6,-1,4,-6,0,0,0,-5,8,4,4,1,0,0,0,3,-8,2,7,-8,0,0,0,-2,5,3,1,2,0,0,0,1,-11,1,7,-7,0,0,0,-8,-2,2,1,2,0,0,0,-1,-15,2
2,-5,11,0,2,0,3,18,1,-3,12,0,1,0,2,4,2,1,5,0,0,0,4,3,2,-5,7,0,0,0,4,1,2,1,6,0,0,0,0,5,2,-6,8,0,0,0,4,1,2,0,0,0,0,0,0,5,2,0,-2,0,0,0,4,4,2
2,6,7,0,3,0,3,2,0,4,8,0,3,0,6,0,0,7,-3,0,0,0,2,0,0,7,-5,0,0,0,6,-1,2,1,6,0,0,0,3,3,2,7,-4,0,0,0,4,1,2,1,5,0,0,0,4,-1,2,7,-3,0,0,0,0,3,2
2,6,2,0,0,0,7,0,0,8,-9,0,-1,0,2,0,0,1,-1,0,-2,0,2,-2,2,7,-8,0,-2,0,4,-1,2,0,-1,0,-2,0,0,3,2,7,-8,0,-2,0,4,2,2,4,-8,0,-2,0,0,0,2,4,0,0,-2,0,4,1,2
2,6,8,1,2,0,5,8,0,1,6,0,2,0,8,-2,1,7,-2,0,0,0,6,2,1,7,-4,0,0,0,4,-2,1,1,7,0,0,0,6,-1,1,7,-3,0,0,0,2,3,1,1,6,0,0,0,6,-1,1,7,-2,0,0,0,2,3,1
2,3,4,0,2,0,4,16,0,1,4,0,0,0,0,7,1,-6,9,0,0,0,6,0,1,0,-1,0,0,0,6,-1,1,-6,8,0,0,0,2,2,1,0,0,0,0,0,7,-1,1,-6,8,0,0,0,2,2,1,0,0,0,0,0,6,1,1
2,12,-4,0,6,0,-1,10,0,7,-2,0,3,0,-4,3,1,1,2,0,4,0,0,0,1,7,-6,0,2,0,-4,3,1,0,1,0,2,0,0,2,1,7,-6,0,2,0,-3,1,1,4,-6,0,2,0,0,1,1,3,1,0,2,0,0,-1,1
2,7,5,0,3,0,0,18,1,3,6,0,2,0,1,1,2,7,-3,0,0,0,5,0,2,1,7,0,0,0,-1,1,2,7,-2,0,0,0,3,2,2,0,6,0,0,0,1,2,2,7,-1,0,0,0,1,3,2,4,-1,0,0,0,4,1,2
2,4,10,0,3,0,5,1,0,10,7,0,3,0,4,-2,0,2,7,0,2,0,0,3,2,7,-2,0,0,0,5,0,2,1,7,0,0,0,0,3,2,7,-1,0,0,0,4,1,2,4,-1,0,0,0,3,1,2,4,7,0,0,0,2,2,2
2,4,10,0,2,0,0,11,1,10,9,0,1,0,-3,5,2,2,6,0,0,0,1,3,2,7,-1,0,0,0,-3,2,2,4,-1,0,0,0,0,2,2,4,7,0,0,0,-2,1,2,7,-3,0,0,0,-2,3,2,1,7,0,0,0,0,0,2
2,14,1,0,7,0,3,8,0,8,19,3,4,0,2,-2,1,17,13,1,4,0,4,-1,1,8,10,2,2,0,0,3,1,4,13,4,1,0,4,0,1,13,6,1,3,0,0,3,1,12,7,3,1,0,4,1,1,12,-3,3,1,0,2,0,1
